P value	A,2H,B:A,2H,B	A,H:A,B	A,H:A,H	A:H	H:A	H:B
0.00	6.92	7.40	7.40	1.73	1.73	1.73
0.01	4.39	4.59	4.59	1.73	1.73	1.73
0.02	4.13	4.25	4.25	1.73	1.73	1.73
0.03	3.96	4.01	4.01	1.73	1.73	1.73
0.04	3.85	3.94	3.94	1.73	1.73	1.73
0.05	3.75	3.78	3.78	1.73	1.73	1.73
0.06	3.67	3.68	3.68	1.73	1.73	1.73
0.07	3.60	3.61	3.61	1.73	1.73	1.73
0.08	3.53	3.51	3.51	1.73	1.73	1.73
0.09	3.47	3.47	3.47	1.73	1.73	1.73
0.10	3.42	3.36	3.36	1.73	1.73	1.73
0.11	3.37	3.33	3.33	1.73	1.73	1.73
0.12	3.32	3.25	3.25	1.73	1.73	1.73
0.13	3.28	3.25	3.25	1.73	1.73	1.73
0.14	3.24	3.17	3.17	1.73	1.73	1.73
0.15	3.20	3.05	3.05	1.73	1.73	1.73
0.16	3.17	3.05	3.05	1.73	1.73	1.73
0.17	3.13	3.05	3.05	1.73	1.73	1.73
0.18	3.10	2.97	2.97	1.73	1.73	1.73
0.19	3.07	2.97	2.97	1.73	1.73	1.73
0.20	3.04	2.93	2.93	1.73	1.73	1.73
0.21	3.01	2.88	2.88	1.73	1.73	1.73
0.22	2.98	2.88	2.88	1.73	1.73	1.73
0.23	2.95	2.79	2.79	1.73	1.73	1.73
0.24	2.93	2.75	2.75	1.73	1.73	1.73
0.25	2.90	2.75	2.75	1.73	1.73	1.73
0.26	2.87	2.66	2.66	1.73	1.73	1.73
0.27	2.85	2.66	2.66	1.73	1.73	1.73
0.28	2.82	2.61	2.61	1.73	1.73	1.73
0.29	2.80	2.61	2.61	1.73	1.73	1.73
0.30	2.78	2.61	2.61	1.73	1.73	1.73
0.31	2.75	2.61	2.61	1.73	1.73	1.73
0.32	2.73	2.61	2.61	1.73	1.73	1.73
0.33	2.71	2.56	2.56	1.73	1.73	1.73
0.34	2.69	2.46	2.46	1.73	1.73	1.73
0.35	2.67	2.46	2.46	1.73	1.73	1.73
0.36	2.65	2.36	2.36	1.73	1.73	1.73
0.37	2.63	2.36	2.36	1.73	1.73	1.73
0.38	2.60	2.36	2.36	1.73	1.73	1.73
0.39	2.58	2.36	2.36	1.73	1.73	1.73
0.40	2.56	2.36	2.36	1.73	1.73	1.73
0.41	2.54	2.36	2.36	1.73	1.73	1.73
0.42	2.52	2.30	2.30	1.73	1.73	1.73
0.43	2.50	2.30	2.30	1.73	1.73	1.73
0.44	2.49	2.30	2.30	1.73	1.73	1.73
0.45	2.47	2.19	2.19	1.73	1.73	1.73
0.46	2.45	2.19	2.19	1.73	1.73	1.73
0.47	2.43	2.19	2.19	1.73	1.73	1.73
0.48	2.41	2.19	2.19	1.73	1.73	1.73
0.49	2.39	2.14	2.14	1.73	1.73	1.73
0.50	2.38	2.14	2.14	1.73	1.73	1.73
0.51	2.35	2.08	2.08	1.73	1.73	1.73
0.52	2.34	2.08	2.08	1.73	1.73	1.73
0.53	2.32	2.08	2.08	1.73	1.73	1.73
0.54	2.30	2.01	2.01	1.73	1.73	1.73
0.55	2.29	2.01	2.01	1.73	1.73	1.73
0.56	2.26	2.01	2.01	1.73	1.73	1.73
0.57	2.25	2.01	2.01	1.73	1.73	1.73
0.58	2.23	1.95	1.95	1.73	1.73	1.73
0.59	2.21	1.95	1.95	1.73	1.73	1.73
0.60	2.19	1.95	1.95	1.73	1.73	1.73
0.61	2.18	1.95	1.95	1.73	1.73	1.73
0.62	2.15	1.95	1.95	1.73	1.73	1.73
0.63	2.14	1.82	1.82	1.73	1.73	1.73
0.64	2.12	1.82	1.82	1.73	1.73	1.73
0.65	2.10	1.82	1.82	1.73	1.73	1.73
0.66	2.08	1.82	1.82	1.73	1.73	1.73
0.67	2.06	1.75	1.75	1.73	1.73	1.73
0.68	2.04	1.75	1.75	1.73	1.73	1.73
0.69	2.03	1.75	1.75	1.73	1.73	1.73
0.70	2.00	1.75	1.75	1.73	1.73	1.73
0.71	1.98	1.75	1.75	1.73	1.73	1.73
0.72	1.97	1.75	1.75	1.73	1.73	1.73
0.73	1.95	1.75	1.75	1.73	1.73	1.73
0.74	1.93	1.75	1.75	1.73	1.73	1.73
0.75	1.92	1.60	1.60	1.73	1.73	1.73
0.76	1.90	1.60	1.60	1.73	1.73	1.73
0.77	1.88	1.60	1.60	1.73	1.73	1.73
0.78	1.86	1.60	1.60	1.73	1.73	1.73
0.79	1.84	1.60	1.60	1.73	1.73	1.73
0.80	1.82	1.60	1.60	1.73	1.73	1.73
0.81	1.79	1.52	1.52	1.73	1.73	1.73
0.82	1.77	1.52	1.52	1.73	1.73	1.73
0.83	1.75	1.52	1.52	1.73	1.73	1.73
0.84	1.71	1.52	1.52	1.73	1.73	1.73
0.85	1.70	1.52	1.52	1.73	1.73	1.73
0.86	1.67	1.52	1.52	1.73	1.73	1.73
0.87	1.65	1.43	1.43	1.73	1.73	1.73
